LS,Level,Section,Row,Seat,Seat Status Code,Price Level Code,Item Price
S:3:11:1,S,3,11,1,s,18,0
S:11:12:1,S,11,12,1,K,18,0
S:11:12:2,S,11,12,2,K,18,0
S:11:12:3,S,11,12,3,K,18,0
S:2:11:3,S,2,11,3,s,18,0
S:2:11:2,S,2,11,2,s,18,0
S:2:11:1,S,2,11,1,s,18,0
S:11:11:15,S,11,11,15,K,18,0
S:11:11:14,S,11,11,14,K,18,0
S:11:11:13,S,11,11,13,K,18,0
S:11:11:12,S,11,11,12,K,18,0
S:11:11:11,S,11,11,11,K,18,0
S:11:11:10,S,11,11,10,K,18,0
S:11:11:9,S,11,11,9,K,18,0
S:11:11:8,S,11,11,8,K,18,0
S:11:11:7,S,11,11,7,K,18,0
S:11:11:6,S,11,11,6,K,18,0
S:11:11:5,S,11,11,5,K,18,0
S:11:11:4,S,11,11,4,K,18,0
S:11:11:3,S,11,11,3,K,18,0
S:11:11:2,S,11,11,2,K,18,0
S:11:11:1,S,11,11,1,K,18,0
S:10:11:15,S,10,11,15,K,18,0
S:10:11:14,S,10,11,14,K,18,0
S:10:11:13,S,10,11,13,K,18,0
S:10:11:12,S,10,11,12,K,18,0
S:10:11:11,S,10,11,11,K,18,0
S:10:11:10,S,10,11,10,K,18,0
S:10:11:9,S,10,11,9,K,18,0
S:10:11:8,S,10,11,8,K,18,0
S:10:11:7,S,10,11,7,K,18,0
S:3:12:1,S,3,12,1,s,18,0
S:3:12:2,S,3,12,2,s,18,0
S:3:12:3,S,3,12,3,s,18,0
S:3:12:4,S,3,12,4,s,18,0
S:3:12:5,S,3,12,5,s,18,0
S:3:12:6,S,3,12,6,s,18,0
S:3:12:7,S,3,12,7,s,18,0
S:3:12:8,S,3,12,8,s,18,0
S:3:12:9,S,3,12,9,s,18,0
S:3:12:10,S,3,12,10,s,18,0
S:3:12:11,S,3,12,11,s,18,0
S:3:12:12,S,3,12,12,s,18,0
S:3:12:13,S,3,12,13,s,18,0
S:3:12:14,S,3,12,14,s,18,0
S:3:12:15,S,3,12,15,s,18,0
S:4:12:1,S,4,12,1,s,18,0
S:4:12:2,S,4,12,2,s,18,0
S:4:12:3,S,4,12,3,s,18,0
S:4:12:4,S,4,12,4,s,18,0
S:4:12:5,S,4,12,5,s,18,0
S:4:12:6,S,4,12,6,s,18,0
S:10:11:6,S,10,11,6,K,18,0
S:10:11:5,S,10,11,5,K,18,0
S:10:11:4,S,10,11,4,K,18,0
S:10:11:3,S,10,11,3,K,18,0
S:10:11:2,S,10,11,2,K,18,0
S:10:11:1,S,10,11,1,K,18,0
S:1:11:15,S,1,11,15,s,18,0
S:1:11:14,S,1,11,14,s,18,0
S:1:11:13,S,1,11,13,s,18,0
S:5:12:1,S,5,12,1,s,18,0
S:5:12:2,S,5,12,2,s,18,0
S:5:12:3,S,5,12,3,s,18,0
S:5:12:4,S,5,12,4,s,18,0
S:5:12:5,S,5,12,5,s,18,0
S:5:12:6,S,5,12,6,s,18,0
S:5:12:7,S,5,12,7,s,18,0
S:5:12:8,S,5,12,8,s,18,0
S:5:12:9,S,5,12,9,s,18,0
S:5:12:10,S,5,12,10,s,18,0
S:5:12:11,S,5,12,11,s,18,0
S:5:12:12,S,5,12,12,s,18,0
S:5:12:13,S,5,12,13,s,18,0
S:5:12:14,S,5,12,14,s,18,0
S:5:12:15,S,5,12,15,s,18,0
S:6:12:1,S,6,12,1,s,18,0
S:6:12:2,S,6,12,2,s,18,0
S:6:12:3,S,6,12,3,s,18,0
S:6:12:4,S,6,12,4,s,18,0
S:6:12:5,S,6,12,5,s,18,0
S:6:12:6,S,6,12,6,s,18,0
S:6:12:7,S,6,12,7,s,18,0
S:6:12:8,S,6,12,8,s,18,0
S:6:12:9,S,6,12,9,s,18,0
